month	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15
1	5	3	4	5	4	3	5	7	6	6	5	2	4	6	2	9
2	8	5	6	4	9	8	5	4	2	8	5	6	9	5	3	5
3	8	7	2	8	3	2	5	4	8	7	3	3	4	4	7	3
4	7	5	1	3	4	7	8	8	11	8	5	6	0	7	0	5
5	7	4	10	9	5	9	7	5	5	4	10	9	2	3	7	7
6	6	6	1	5	9	5	5	4	2	7	5	7	3	6	4	6
7	7	4	2	2	5	4	6	3	7	7	3	9	9	2	3	4
8	6	6	4	4	5	9	7	5	1	5	4	6	5	10	3	7
9	6	4	4	7	4	11	7	6	9	10	11	3	6	3	9	6
10	8	2	8	5	6	6	1	5	5	2	6	4	7	6	7	6
11	3	2	4	2	8	2	1	6	4	5	3	3	1	3	8	4
12	6	3	4	5	7	7	5	6	7	5	4	6	3	6	6	6
13	11	5	7	5	15	11	9	4	4	12	8	12	10	5	6	7
14	12	5	8	7	4	3	7	8	5	5	8	8	10	8	7	10
15	8	6	5	9	2	10	8	9	6	10	5	3	5	7	7	3
16	11	4	6	4	10	7	7	7	4	9	6	8	10	3	7	8
17	9	4	7	5	6	4	8	4	8	12	6	3	13	12	9	6
18	7	11	7	16	8	8	13	12	9	16	8	11	10	7	7	11
19	18	8	13	13	16	18	15	12	16	14	15	15	12	9	15	12
20	24	18	10	8	26	14	23	21	16	14	18	21	18	17	25	17
21	14	16	16	11	16	10	9	22	15	13	16	19	11	15	19	25
22	18	9	15	19	11	16	9	14	11	9	22	18	13	14	10	11
23	20	23	27	16	10	15	25	17	20	21	20	24	16	16	24	23
24	32	16	24	31	19	13	28	31	20	23	27	29	18	29	25	24
