timestep	Cell 0	Cell 1	Cell 2	Cell 3	Cell 4	Cell 5	Cell 6	Cell 7	Cell 8	Cell 9	Cell 10	Cell 11	Cell 12	Cell 13	Cell 14	Cell 15
1	40	40	46	32	43	34	36	30	54	44	45	44	29	49	26	39
2	91	75	94	73	97	90	80	88	97	89	91	93	80	95	67	80
3	136	129	143	119	145	149	127	132	152	138	146	132	129	143	119	142
4	151	131	151	133	164	171	144	158	148	134	147	138	156	139	149	153
5	170	138	140	139	165	184	137	148	151	129	162	147	151	147	154	165
6	179	135	143	153	173	180	132	152	151	131	176	163	152	156	158	157
7	174	152	140	161	158	185	125	143	162	129	172	181	158	165	172	158
8	161	168	158	161	152	169	138	161	167	141	172	189	162	168	172	158
9	172	186	154	155	146	172	145	157	156	142	154	193	167	159	169	172
10	176	178	154	152	148	162	150	172	164	158	153	199	155	164	162	156
11	173	190	147	155	136	168	144	157	180	166	145	202	165	163	170	159
12	173	183	147	149	148	171	159	164	191	184	155	202	180	179	192	141
13	175	189	157	153	148	190	163	170	203	187	170	189	187	182	197	169
14	178	181	167	164	174	194	193	172	204	201	185	192	178	199	197	170
15	179	171	180	198	186	208	188	179	222	191	189	180	165	194	186	186
16	191	168	172	211	194	189	200	170	208	196	193	196	178	198	162	198
17	205	166	181	215	185	183	181	173	208	206	174	184	180	179	175	210
18	210	175	177	173	181	162	188	184	181	201	163	190	168	167	181	201
19	194	177	169	162	171	160	172	187	174	200	160	159	149	145	192	187
20	159	164	138	155	154	154	170	187	157	169	163	131	154	132	164	164
21	125	136	115	148	117	142	133	147	145	146	135	104	146	116	127	136
22	85	96	84	106	83	105	89	102	95	95	92	71	107	94	91	86
23	55	52	55	54	51	56	37	48	45	45	45	44	54	55	56	41
